id,redshift,chandra_Lx,chi2,H10_flux,H9_flux,H8_flux,Heps_flux,Hdelta_flux,Hgamma_flux,Hbeta_flux,Halpha_flux,[OII]3726_flux,[OII]3729_flux,[SII]6716_flux,[SII]6731_flux,[NeIII]3968_flux,[NeIII]3869_flux,HeII4687_flux,HeI5876_flux,[OIII]5007_d_flux,[OI]6300_d_flux,[NII]6583_d_flux,Hgamma_b_flux,Hbeta_b_flux,Halpha_b_flux,H10_err,H9_err,H8_err,Heps_err,Hdelta_err,Hgamma_err,Hbeta_err,Halpha_err,[OII]3726_err,[OII]3729_err,[SII]6716_err,[SII]6731_err,[NeIII]3968_err,[NeIII]3869_err,HeII4687_err,HeI5876_err,[OIII]5007_d_err,[OI]6300_d_err,[NII]6583_d_err,Hgamma_b_err,Hbeta_b_err,Halpha_b_err,H10_ew,H9_ew,H8_ew,Heps_ew,Hdelta_ew,Hgamma_ew,Hbeta_ew,Halpha_ew,[OII]3726_ew,[OII]3729_ew,[SII]6716_ew,[SII]6731_ew,[NeIII]3968_ew,[NeIII]3869_ew,HeII4687_ew,HeI5876_ew,[OIII]5007_d_ew,[OI]6300_d_ew,[NII]6583_d_ew,Hgamma_b_ew,Hbeta_b_ew,Halpha_b_ew
CDF-S_0492,2.67155,8.31E+41,0.439686973,460.2852003,265.3479536,451.6233086,609.9351182,0,0,0,568.2236438,451.492319,0,132.7424869,0,0,0,234.4539198,72.29575557,1488.356625,176.8690232,0,0,205.9600196,533.8723747,237.0418905,410.7298186,466.279678,2014.385419,106.7064502,276.6200888,193.0198812,589.7238977,1866.654017,1890.01262,311.6292994,316.4784222,2044.068061,642.4259745,113.8424562,85.08081259,93.7906661,95.08181623,503.1844178,354.2958319,207.5367189,202.5886127,19.20830033,10.57373684,16.21196981,20.12311613,0,0,0,26.63572561,21.62548597,0,6.044332118,0,0,0,6.619458584,2.581063128,46.02301137,7.561194031,0,0,6.677334775,25.02549522
UDS_0092,2.6644,1.83E+44,1.010668911,113.7526747,0,0,0,43.43998344,0,699.4344306,0,1119.01575,0,1746.926148,62.77718831,0,72.71266249,175.0448073,0,7213.327827,1221.946073,4874.78307,85.37159531,31.25217991,4243.763713,186.615575,323.3925242,369.3834511,1767.632574,91.06273386,346.3761709,288.6977016,726.3681004,1448.610239,1475.078644,337.0139064,336.4796246,1792.469092,501.3963731,87.59997575,90.09963806,101.3941685,122.9942039,508.0171465,376.2883383,312.1592582,382.4661474,3.124701492,0,0,0,0.801981688,0,9.501664616,0,33.5014618,0,23.09170454,0.829818871,0,1.833829356,2.295381296,0,94.40965996,15.2060824,62.94438768,1.377089369,0.424554067,55.16706042
CDF-S_0638,2.6453,1.22E+42,0.543441039,nan,nan,nan,nan,nan,nan,138.2450308,2182.140198,nan,nan,157.6729192,196.5464509,nan,nan,37.90293227,95.06716178,948.8411709,176.4699741,1131.6902,nan,294.074622,102.144115,nan,nan,nan,nan,nan,nan,44.73996235,30.39506436,nan,nan,24.30526743,23.53097091,nan,nan,44.09496888,25.37508784,36.56587287,29.7974323,31.87226975,nan,95.48142832,73.43758677,nan,nan,nan,nan,nan,nan,32.50566898,240.9275807,nan,nan,16.07880948,20.0895903,nan,nan,7.518492927,10.86246005,98.56683177,21.75614713,162.565351,nan,69.14601025,11.27761385
CDF-S_0829,2.6294,1.15E+42,0.451557034,154.5691291,0,0,0,189.0412609,50.62520276,82.20348051,2550.025471,76.43568649,0,797.1973308,0,398.9794173,0,65.88580529,0,138.3210102,255.5407553,0,0,0,3286.727683,180.1685152,269.8369052,300.1416378,1466.061225,91.40437646,213.330108,189.421118,446.2567262,1539.359441,1552.248441,273.3596741,273.8255019,1467.331503,384.5559685,88.38073417,77.78375134,88.9131386,97.06473702,372.7493097,239.1655704,214.573982,204.3339407,5.293875407,0,0,0,5.051478869,1.232941823,1.809529732,48.07317459,3.07213189,0,14.53844114,0,12.10688761,0,1.430373428,0,2.91017749,4.747394745,0,0,0,61.96151197
UDS_0678,2.6233,2.02E+43,1.191059535,0,37.41142108,0,784.455258,743.3828651,0,892.7651847,3063.119266,989.900606,0,2303.137676,0,228.9823624,235.6472492,0,0,2524.854579,660.2286372,547.0622971,1090.033701,0,3410.352929,371.7406644,619.1199142,704.3622745,3331.97113,180.6400514,573.2322138,505.5033634,588.1382018,3070.680038,3136.679217,549.6576465,530.3878796,3362.532423,942.5519335,157.5993978,130.5662598,178.3927688,163.302511,607.4141462,706.8398073,645.0816241,542.5374415,0,1.772661235,0,39.89033344,24.43314038,0,18.95900622,65.93116147,53.75001507,0,48.42384323,0,11.64398185,10.58691135,0,0,43.53025712,12.78113136,11.67510239,30.56651517,0,73.40508483
CDF-S_0049,2.61396,3.26E+42,0.71855423,168.9988358,0,115.5829261,0,95.54617438,9.546997401,117.7776827,832.0519125,0,173.837841,281.6788059,0,127.4241385,0,0,0,464.7575853,1.84314102,832.0806464,0,0,354.9737394,83.65777545,140.9874802,152.818964,695.6337754,35.18976725,156.4266397,139.5818868,207.3355199,639.6629268,647.2571202,118.7457032,117.8460314,702.9839927,209.9890415,34.91980491,31.33920784,34.3870274,41.78048749,149.0558484,171.6221351,156.5166954,131.8453296,119.3130151,0,66.53568002,0,31.29633369,2.282243149,20.90733499,79.6896612,0,137.8511779,24.99606008,0,64.64972308,0,0,0,70.17609433,0.185825665,79.6924132,0,0,33.99756266
CDF-S_0085,2.59185,5.37E+43,0.797950393,0,236.6681723,0,170.497593,0,0,0,4475.713851,0,0,526.7688995,57.2301552,0,0,200.2183631,0,1171.871506,135.586487,0,0,326.5641007,1826.775174,96.56324283,107.5064966,155.8130654,984.6279066,72.24871985,181.6912807,172.7066264,259.4950522,1052.041346,1061.133458,230.9271145,226.1129628,983.8170659,177.942233,74.94879172,68.05134942,68.53516851,99.6220408,264.507967,230.9696169,237.4383479,195.623237,0,4.194656369,0,2.775141548,0,0,0,107.6225888,0,0,12.75480707,1.38573023,0,0,3.613557659,0,23.62608473,3.154102964,0,0,6.452958288,43.92646176
CDF-S_0279,2.582725,1.72E+42,1.35398188,145.639803,0,0,0,27.35583986,0,0,678.5121472,183.0403908,0,0,364.7101729,194.977854,92.90723573,3.897200927,0,120.2702298,63.04156883,0,0,0,2566.29874,54.9421936,84.52184792,98.04484753,584.5842081,32.19297121,109.8035049,104.6837766,135.4274501,489.7105776,492.0428496,128.9044047,125.1186957,585.2618734,127.664814,32.89311552,30.82260008,35.39546668,42.87543408,224.993251,127.1951396,124.4422267,184.3908276,4.99551308,0,0,0,0.69797321,0,0,15.73431384,7.570090215,0,0,8.439036484,5.587527575,2.840563477,0.091772975,0,2.861452258,1.484026554,0,0,0,59.51101975
CDF-S_0437,2.58245,1.43E+43,1.988112079,nan,nan,nan,nan,nan,nan,699.1332536,2269.074736,nan,nan,643.449076,12.0650599,nan,nan,328.5622824,0,11628.08064,287.8031635,2001.622409,nan,0,6453.859018,nan,nan,nan,nan,nan,nan,125.0696539,85.02652961,nan,nan,54.20942978,52.30628348,nan,nan,65.48131514,41.94068335,61.12263692,46.06731446,72.94334741,nan,171.7998601,146.3846653,nan,nan,nan,nan,nan,nan,32.0590158,91.49977145,nan,nan,15.94684139,0.294728249,nan,nan,8.7233929,0,274.1338769,7.314774233,53.56242169,nan,0,260.249967
CDF-S_0550,2.5433,-2.44E+42,0.391455686,167.3888227,0,0,0,187.1809416,175.0064274,241.0624724,169.4460962,297.2499968,0,0,204.01966,0,7.067878945,404.6554043,0,162.3157401,0,0,34.32080732,0,1602.574607,163.5039835,195.3492804,270.7479107,1518.440759,106.4411039,157.4528398,134.471092,919.0765771,1564.352212,1603.540009,456.4980953,436.5568499,1533.891474,326.9676513,89.06247385,72.47733943,96.80987229,120.0966953,1246.099109,179.8915621,143.4355,442.1311921,20.9451779,0,0,0,15.47470578,17.06807012,23.80405267,12.77470341,41.93096363,0,0,14.75046175,0,0.643586986,34.65767251,0,12.33907871,0,0,3.347248182,0,120.8196338
CDF-S_0182,2.54265,1.58E+42,1.267171921,879.5617364,0,421.477005,0,327.9860368,0,0,2196.042295,688.0233891,1246.137264,0,1096.636856,532.0234437,0,104.1656549,106.145964,2429.435438,450.8937381,1011.384366,533.5281301,1299.679977,4229.806477,196.7719549,341.763522,374.8161298,1597.364797,78.88426684,546.2323255,450.1280589,363.9269901,1554.287067,1571.750323,252.0812027,247.7162784,1622.385357,520.3522825,76.92099852,59.95532171,68.33353476,97.34626754,310.9023687,599.3136065,501.0309509,459.7420859,24.92593201,0,12.10587562,0,9.9048349,0,0,150.822735,18.29534819,33.13625015,0,72.6137203,16.49227468,0,3.692699285,5.645811349,100.5520104,28.32741278,69.4612105,17.70156004,52.45427279,290.5003163
AEGIS_0724,2.5053,3.22E+43,0.542765552,259.6371395,0,189.1207787,0,23.14771643,0,0,394.6698743,75.75624444,0,549.5650248,0,310.2476111,0,53.90452321,0,442.5979539,178.7011344,0,0,65.18462121,2943.426186,186.1907546,311.0365892,334.8682732,1392.757517,65.15228202,253.4273334,227.8774447,2030.428411,1299.903743,1319.692897,433.7586014,395.7829819,1424.213547,468.5050628,74.56892627,63.35422826,68.26638027,97.77522194,5457.977551,261.1985252,232.6034336,3511.58099,65.65276987,0,48.02766356,0,3.163365055,0,0,24.92365411,16.45095992,0,33.01692561,0,65.69336434,0,5.082915613,0,34.17597027,10.91883932,0,0,5.876353097,185.8792396
CDF-S_0504,2.34698,6.57E+41,2.077390651,255.5918619,20.55289813,190.8375793,0,138.2555275,0,0,0,0,833.3393987,172.8603456,351.7106445,107.7648155,0,0,162.53291,3972.983689,147.412362,0,193.7036419,875.2818506,4176.857951,160.32286,281.8021847,307.9583994,1251.72105,52.9051676,341.6915997,327.1496124,283.0940637,1175.321229,1194.907892,186.8919921,182.2671528,1274.561628,432.6269668,57.80950231,42.19837671,52.11743367,56.57477625,202.4465757,376.4699009,365.8096161,252.3728842,4.95593037,0.408824049,3.831185937,0,2.840567133,0,0,0,0,16.35830387,9.305853221,18.93417269,2.215950529,0,0,6.577581897,114.9388657,6.704289899,0,4.377762745,24.91171981,211.6331266
AEGIS_0511,2.3065,5.98E+43,1.013204112,451.7198273,0,617.8502174,0,0,408.7824847,0,0,0,524.11817,1081.949743,0,432.1158525,0,10.36501042,133.8342557,705.643152,0,6106.226204,0,363.5705451,0,282.3026093,479.8752538,537.3406577,2745.733111,140.0111509,1294.466813,1314.972744,2145.527689,2411.859936,2438.657249,694.7513899,675.7115326,2781.586623,735.3186594,126.6346105,128.3311682,149.5090938,188.413098,3303.963699,1281.729784,1315.494203,5089.892561,39.68926411,0,45.52140308,0,0,17.95601023,0,0,0,56.57108404,26.619072,0,28.03426329,0,0.406756587,3.997836546,25.05800461,0,148.8456149,0,14.27358258,0
